Symbol,Company Name,Company Code,Sector
JII,JPMORGAN INDIAN INVESTMENT TRUST PLC,JPJII,Financials
IHP,INTEGRAFIN HOLDINGS PLC,IHPIHP,Financials
HTG,HUNTING PLC,HUPO,Energy
HOC,HOCHSCHILD MINING PLC,HOHOC,Basic Materials
HICL,HICL INFRASTRUCTURE PLC,HIHICL,Financials
BYG,BIG YELLOW GROUP PLC,BIBYG,Real Estate
AML,ASTON MARTIN LAGONDA GLOBAL HOLDINGS PLC,ASAML,Consumer Discretionary
GAW,GAMES WORKSHOP GROUP PLC,GAGR,Consumer Discretionary
BBOX,TRITAX BIG BOX REIT PLC,TRBBOX,Real Estate
OSB,OSB GROUP PLC,OSBOSB,Financials
USA,BAILLIE GIFFORD US GROWTH TRUST PLC,BAUSA,Financials
BVIC,BRITVIC PLC,BRBVIC,Consumer Staples 
HSL,HENDERSON SMALLER COMPANIES INVESTMENT TRUST PLC,HEHSL,Financials
PFD,PREMIER FOODS PLC,PRPFD,Consumer Staples 
CKN,CLARKSON PLC,CLCKN,Industrials
GCP,GCP INFRASTRUCTURE INVESTMENTS LIMITED,GCGCP,Financials
IGG,IG GROUP HOLDINGS PLC,IGIGG,Financials
DSCV,DISCOVERIE GROUP PLC,ACBO,Industrials
JMAT,JOHNSON MATTHEY PLC,JOJG,Basic Materials
SVS,SAVILLS PLC,SAZEV,Real Estate
UKCM,UK COMMERCIAL PROPERTY REIT LIMITED,UKUKCM,Real Estate
EMG,MAN GROUP PLC,MANEMG,Financials
VSVS,VESUVIUS PLC,VEVSVS,Industrials
RICA,RUFFER INVESTMENT COMPANY LTD,RRICA,Financials
FAN,VOLUTION GROUP PLC,VOFAN,Industrials
BGEO,BANK OF GEORGIA GROUP PLC,BABGEO,Financials
MYI,MURRAY INTERNATIONAL TRUST PLC,MUSE,Financials
WTAN,WITAN INVESTMENT TRUST PLC,WIWTA,Financials
TMPL,TEMPLE BAR INVESTMENT TRUST PLC,TEKN,Financials
JUP,JUPITER FUND MANAGEMENT PLC,JUJUP,Financials
SNR,SENIOR PLC,SESNR,Industrials
CTY,CITY OF LONDON INVESTMENT TRUST PLC,CICTY,Financials
DNLM,DUNELM GROUP PLC,DUDNLM,Consumer Discretionary
TCAP,TP ICAP GROUP PLC,TPITPI,Financials
DWL,DOWLAIS GROUP PLC,DOWLAI,Consumer Discretionary
WKP,WORKSPACE GROUP PLC,WOWKP,Real Estate
CEY,CENTAMIN PLC,CENCEY,Basic Materials
ASL,ABERFORTH SMALLER COMPANIES TRUST PLC,ABOA,Financials
WIZZ,WIZZ AIR HOLDINGS PLC,WIWIZZ,Consumer Discretionary
3IN,3I INFRASTRUCTURE PLC,TIITIN,Financials
ESCT,THE EUROPEAN SMALLER COMPANIES TRUST PLC,TRAF,Financials
BRGE,BLACKROCK GREATER EUROPE INVESTMENT TRUST PLC,BLBRGE,Financials
JTC,JTC PLC,JTJTC,Financials
ATST,ALLIANCE TRUST PLC,ALKX,Financials
HSX,HISCOX LTD,HIHSX,Financials
RCP,RIT CAPITAL PARTNERS PLC,RIQB,Financials
BNKR,BANKERS INVESTMENT TRUST PLC,BAOMK,Financials
SEQI,SEQUOIA ECONOMIC INFRASTRUCTURE INCOME FUND LIMITED,SESEQI,Financials
GEN,GENUIT GROUP PLC,PLPLP,Industrials
IEM,IMPAX ENVIRONMENTAL MARKETS PLC,IMIEM,Financials
MRCH,MERCHANTS TRUST PLC,MEMF,Financials
LWDB,LAW DEBENTURE CORPORATION PLC,LAOF,Financials
BRWM,BLACKROCK WORLD MINING TRUST PLC,BLBRWM,Financials
BGFD,BAILLIE GIFFORD JAPAN TRUST PLC,BABZS,Financials
HMSO,HAMMERSON PLC,HAHPY,Real Estate
SXS,SPECTRIS PLC,SPSXS,Industrials
GPE,GREAT PORTLAND ESTATES PLC,GRIO,Real Estate
CHG,CHEMRING GROUP PLC,CHKC,Industrials
CLDN,CALEDONIA INVESTMENTS PLC,CAENA,Financials
WWH,WORLDWIDE HEALTHCARE TRUST PLC,WOWWH,Financials
SMWH,WH SMITH PLC,WSMWH,Consumer Discretionary
SCT,SOFTCAT PLC,SOSCT,Technology
MSLH,MARSHALLS PLC,MARJE,Industrials
MNKS,MONKS INVESTMENT TRUST PLC,MOFF,Financials
CRST,CREST NICHOLSON HOLDINGS PLC,CRCRST,Consumer Discretionary
LMP,LONDONMETRIC PROPERTY PLC,LOLSP,Real Estate
ASHM,ASHMORE GROUP PLC,ASASHM,Financials
ITH,ITHACA ENERGY PLC,ITHEPL,Energy
MUT,MURRAY INCOME TRUST PLC,MUSA,Financials
QLT,QUILTER PLC,QUQLTR,Financials
TIFS,TI FLUID SYSTEMS PLC,TIFS,Consumer Discretionary
SUPR,SUPERMARKET INCOME REIT PLC,SUSUPR,Real Estate
ASCL,ASCENTIAL PLC,ASASCL,Technology
MRC,MERCANTILE INVESTMENT TRUST (THE) PLC,MEMRC,Financials
MAB,MITCHELLS & BUTLERS PLC,MIMAB,Consumer Discretionary
BYIT,BYTES TECHNOLOGY GROUP PLC,BYTSBY,Technology
N91,NINETY ONE PLC,NINN91,Financials
BRSC,BLACKROCK SMALLER CO TRUST PLC,BLBRSC,Financials
ROR,ROTORK PLC,ROKP,Industrials
MGAM,MORGAN ADVANCED MATERIALS PLC,MOADMA,Industrials
MOON,MOONPIG GROUP PLC,MPGPLC,Consumer Discretionary
KLR,KELLER GROUP PLC,KEEKM,Industrials
BOY,BODYCOTE PLC,BOCC,Industrials
BBY,BALFOUR BEATTY PLC,BABBY,Industrials
EWI,EDINBURGH WORLDWIDE INVESTMENT TRUST PLC,EDEWI,Financials
CCC,COMPUTACENTER PLC,COCCC,Technology
THRG,BLACKROCK THROGMORTON TRUST PLC,BRTHUI,Financials
LRE,LANCASHIRE HOLDINGS LIMITED,LALRE,Financials
EDIN,EDINBURGH INVESTMENT TRUST PLC,EDIQ,Financials
EBOX,TRITAX EUROBOX PLC,EBOXTR,Real Estate
BOWL,HOLLYWOOD BOWL GROUP PLC,HOBOWL,Consumer Discretionary
VCT,VICTREX PLC,VIVCT,Basic Materials
FGT,FINSBURY GROWTH & INCOME TRUST PLC,FILN,Financials
PETS,PETS AT HOME GROUP PLC,PEPETS,Consumer Discretionary
SYNC,SYNCONA LIMITED,SYSYNC,Financials
BWY,BELLWAY PLC,BEHL,Consumer Discretionary
VOF,VINACAPITAL VIETNAM OPPORTUNITY FUND LD,VOFVI,Financials
SRP,SERCO GROUP PLC,SEPD,Industrials
VTY,VISTRY GROUP PLC,BOBVS,Consumer Discretionary
TATE,TATE & LYLE PLC,TANI,Consumer Staples 
RHIM,RHI MAGNESITA N.V.,RHIMA,Basic Materials
PAG,PARAGON BANKING GROUP PLC,PAPAG,Financials
NBPE,NB PRIVATE EQUITY PARTNERS LIMITED,NBNBPE,Financials
JFJ,JPMORGAN JAPANESE INVESTMENT TRUST PLC,JPJFJ,Financials
JDW,WETHERSPOON ( J.D.) PLC,WEOH,Consumer Discretionary
STEM,STHREE PLC,STSTHR,Industrials
HGT,HG CAPITAL TRUST PLC,HGHGT,Financials
BPT,BRIDGEPOINT GROUP PLC,BRIDPO,Financials
VMUK,VIRGIN MONEY UK PLC,CYBGCL,Financials
HL.,HARGREAVES LANSDOWN PLC,HAHL.,Financials
INCH,INCHCAPE PLC,INARX,Industrials
FDM,FDM GROUP (HOLDINGS) PLC,FDFDM,Industrials
MGNS,MORGAN SINDALL GROUP PLC,MOMGNS,Industrials
INVP,INVESTEC PLC,ININVP,Financials
ATG,AUCTION TECHNOLOGY GROUP PLC,AUCTGP,Technology
MONY,MONEYSUPERMARKET.COM GROUP PLC,MOMONY,Technology
VEIL,VIETNAM ENTERPRISE INVESTMENTS LIMITED,VEILVE,Financials
DOCS,DR. MARTENS PLC,DRMART,Consumer Discretionary
HILS,HILL & SMITH PLC,HIHO,Basic Materials
DOM,DOMINO'S PIZZA GROUP PLC,DODOM,Consumer Discretionary
WG.,WOOD GROUP (JOHN) PLC,WOWG,Energy
MEGP,ME GROUP INTERNATIONAL PLC,PHUA,Consumer Discretionary
DEC,DIVERSIFIED ENERGY COMPANY PLC,DIDGOC,Energy
AJB,AJ BELL PLC,AJAJBE,Financials
TUI,TUI AG,TUIJAG,Consumer Discretionary
KNOS,KAINOS GROUP PLC,KAKNOS,Technology
COA,COATS GROUP PLC,COCOA,Industrials
BREE,BREEDON GROUP PLC,BRBREE,Industrials
ELM,ELEMENTIS PLC,ELELM,Basic Materials
GNS,GENUS PLC,GEGNS,Health Care 
TLW,TULLOW OIL PLC,TUHV,Energy
DRX,DRAX GROUP PLC,DRDRX,Utilities
CCL,CARNIVAL PLC,CACCL,Consumer Discretionary
RDW,REDROW PLC,REEQS,Consumer Discretionary
IDS,INTERNATIONAL DISTRIBUTIONS SERVICES PLC,RORMG,Industrials
ENOG,ENERGEAN PLC,ENENOG,Energy
PNN,PENNON GROUP PLC,PEPNN,Utilities
TPK,TRAVIS PERKINS PLC,TRIA,Industrials
GRG,GREGGS PLC,GRMT,Consumer Staples 
RSW,RENISHAW PLC,REMN,Industrials
FXPO,FERREXPO PLC,FEFXPO,Basic Materials
PLUS,PLUS500 LTD,PLUSIL,Financials
CURY,CURRYS PLC,DIXDC,Consumer Discretionary
EZJ,EASYJET PLC,EAEZJ,Consumer Discretionary
QQ.,QINETIQ GROUP PLC,QIQQ.,Industrials
FOUR,4IMPRINT GROUP PLC,IMFOU,Consumer Discretionary
PZC,PZ CUSSONS PLC,PZPZC,Consumer Staples 
IBST,IBSTOCK PLC,IBI,Industrials
INDV,INDIVIOR PLC,ININDV,Health Care 
CBG,CLOSE BROTHERS GROUP PLC,CLQH,Financials
WOSG,WATCHES OF SWITZERLAND GROUP PLC,WAWOSG,Consumer Discretionary
FUTR,FUTURE PLC,FUFUTR,Consumer Discretionary
HBR,HARBOUR ENERGY PLC,PRCI,Energy
PTEC,PLAYTECH PLC,PLPTEC,Consumer Discretionary
PPH,PPHE HOTEL GROUP LIMITED,PAPPH,Consumer Discretionary
JLEN,JLEN ENVIRONMENTAL ASSETS GROUP LIMITED,JLJLEN,Financials
ICGT,ICG ENTERPRISE TRUST PLC,ICGTIC,Financials
FEML,FIDELITY EMERGING MARKETS LIMITED,GEIL,Financials
APAX,APAX GLOBAL ALPHA LIMITED,APAPAX,Financials
