Symbol,Company Name,Company Code,Subsector Code
HOC,HOCHSCHILD MINING PLC,HOHOC,55103030
HICL,HICL INFRASTRUCTURE PLC,HIHICL,30204000
BYG,BIG YELLOW GROUP PLC,BIBYG,35102050
AML,ASTON MARTIN LAGONDA GLOBAL HOLDINGS PLC,ASAML,40101020
GAW,GAMES WORKSHOP GROUP PLC,GAGR,40203045
BBOX,TRITAX BIG BOX REIT PLC,TRBBOX,35102070
OSB,OSB GROUP PLC,OSBOSB,30201025
USA,BAILLIE GIFFORD US GROWTH TRUST PLC,BAUSA,30204000
BVIC,BRITVIC PLC,BRBVIC,45101020
HSL,HENDERSON SMALLER COMPANIES INVESTMENT TRUST PLC,HEHSL,30204000
PFD,PREMIER FOODS PLC,PRPFD,45102020
CKN,CLARKSON PLC,CLCKN,50206030
GCP,GCP INFRASTRUCTURE INVESTMENTS LIMITED,GCGCP,30204000
IGG,IG GROUP HOLDINGS PLC,IGIGG,30202015
DSCV,DISCOVERIE GROUP PLC,ACBO,50202010
JMAT,JOHNSON MATTHEY PLC,JOJG,55201000
SVS,SAVILLS PLC,SAZEV,35101015
UKCM,UK COMMERCIAL PROPERTY REIT LIMITED,UKUKCM,35102000
EMG,MAN GROUP PLC,MANEMG,30202010
VSVS,VESUVIUS PLC,VEVSVS,50204050
RICA,RUFFER INVESTMENT COMPANY LTD,RRICA,30204000
FAN,VOLUTION GROUP PLC,VOFAN,50101035
BGEO,BANK OF GEORGIA GROUP PLC,BABGEO,30101010
MYI,MURRAY INTERNATIONAL TRUST PLC,MUSE,30204000
WTAN,WITAN INVESTMENT TRUST PLC,WIWTA,30204000
TMPL,TEMPLE BAR INVESTMENT TRUST PLC,TEKN,30204000
JUP,JUPITER FUND MANAGEMENT PLC,JUJUP,30202010
SNR,SENIOR PLC,SESNR,50201010
CTY,CITY OF LONDON INVESTMENT TRUST PLC,CICTY,30204000
DNLM,DUNELM GROUP PLC,DUDNLM,40401025
TCAP,TP ICAP GROUP PLC,TPITPI,30202015
DWL,DOWLAIS GROUP PLC,DOWLAI,40101025
WKP,WORKSPACE GROUP PLC,WOWKP,35102030
CEY,CENTAMIN PLC,CENCEY,55103025
ASL,ABERFORTH SMALLER COMPANIES TRUST PLC,ABOA,30204000
WIZZ,WIZZ AIR HOLDINGS PLC,WIWIZZ,40501010
3IN,3I INFRASTRUCTURE PLC,TIITIN,30204000
ESCT,THE EUROPEAN SMALLER COMPANIES TRUST PLC,TRAF,30204000
BRGE,BLACKROCK GREATER EUROPE INVESTMENT TRUST PLC,BLBRGE,30204000
JTC,JTC PLC,JTJTC,30202010
ATST,ALLIANCE TRUST PLC,ALKX,30204000
HSX,HISCOX LTD,HIHSX,30302010
RCP,RIT CAPITAL PARTNERS PLC,RIQB,30204000
BNKR,BANKERS INVESTMENT TRUST PLC,BAOMK,30204000
SEQI,SEQUOIA ECONOMIC INFRASTRUCTURE INCOME FUND LIMITED,SESEQI,30204000
GEN,GENUIT GROUP PLC,PLPLP,50101020
IEM,IMPAX ENVIRONMENTAL MARKETS PLC,IMIEM,30204000
MRCH,MERCHANTS TRUST PLC,MEMF,30204000
LWDB,LAW DEBENTURE CORPORATION PLC,LAOF,30204000
