Symbol,AnnualDividendsPerShare,DividendYield,PayoutRatio,RetentionRatio,DividendCount,Sector_1,Sector_2,Sector_3,Sector_4,Sector_5,Sector_6,Sector_7,Sector_8,Sector_9,Sector_10,Sector_11,Sector_12
AY,1.78,8.27,50.07,0.49929999999999997,4.0,0,0,0,0,0,0,0,0,0,0,0,1
BAFN,0.32,2.53,11.5,0.885,4.0,0,0,0,0,1,0,0,0,0,0,0,0
BANF,1.72,1.77,14.73,0.8527,4.0,0,0,0,0,1,0,0,0,0,0,0,0
BANFP,1.8,7.03,18.302007434944237,0.8169799256505577,4.0,0,0,0,0,1,0,0,0,0,0,0,0
BANR,1.92,3.57,9.49,0.9051,4.0,0,0,0,0,1,0,0,0,0,0,0,0
BANX,1.8,9.96,34.11,0.6589,5.0,0,0,0,0,1,0,0,0,0,0,0,0
BBSI,1.2,1.04,16.67,0.8332999999999999,4.0,0,1,0,0,0,0,0,0,0,0,0,0
BCBP,0.64,4.93,6.36,0.9364,4.0,0,0,0,0,1,0,0,0,0,0,0,0
BCPC,0.71,0.49,45.58,0.5442,1.0,0,0,0,0,0,0,1,0,0,0,0,0
BFC,1.2,1.36,16.62,0.8338,4.0,0,0,0,0,1,0,0,0,0,0,0,0
BFIN,0.4,3.81,12.34,0.8766,4.0,0,0,0,0,1,0,0,0,0,0,0,0
BFST,0.56,2.31,8.96,0.9104,4.0,0,0,0,0,1,0,0,0,0,0,0,0
BGC,0.04,0.6,167.0,-0.6699999999999999,4.0,0,0,0,0,1,0,0,0,0,0,0,0
BGFV,0.5,7.59,41.19,0.5881000000000001,4.0,0,1,0,0,0,0,0,0,0,0,0,0
BHFAL,1.5625,7.22,18.302007434944237,0.8169799256505577,4.0,0,0,0,0,1,0,0,0,0,0,0,0
BHFAM,1.1563,7.49,18.302007434944237,0.8169799256505577,4.0,0,0,0,0,1,0,0,0,0,0,0,0
BHFAN,1.3438,7.33,18.302007434944237,0.8169799256505577,4.0,0,0,0,0,1,0,0,0,0,0,0,0
BHFAO,1.6875,7.62,18.302007434944237,0.8169799256505577,4.0,0,0,0,0,1,0,0,0,0,0,0,0
BHFAP,1.65,7.77,18.302007434944237,0.8169799256505577,4.0,0,0,0,0,1,0,0,0,0,0,0,0
BHRB,2.12,3.41,18.302007434944237,0.8169799256505577,3.0,0,0,0,0,1,0,0,0,0,0,0,0
BKR,0.8,2.35,20.51,0.7948999999999999,4.0,0,0,0,0,0,0,1,0,0,0,0,0
BLMN,0.96,3.58,9.96,0.9004,4.0,0,1,0,0,0,0,0,0,0,0,0,0
BMRC,1.0,4.53,10.99,0.8901,4.0,0,0,0,0,1,0,0,0,0,0,0,0
BOKF,2.2,2.61,9.12,0.9088,4.0,0,0,0,0,1,0,0,0,0,0,0,0
BOTJ,0.32,2.62,6.54,0.9346,4.0,0,0,0,0,1,0,0,0,0,0,0,0
BPRN,1.2,3.25,8.51,0.9149,4.0,0,0,0,0,1,0,0,0,0,0,0,0
BPYPM,1.5625,12.29,18.302007434944237,0.8169799256505577,4.0,0,0,0,0,1,0,0,0,0,0,0,0
BPYPN,1.4375,12.14,18.302007434944237,0.8169799256505577,4.0,0,0,0,0,1,0,0,0,0,0,0,0
BPYPO,1.5938,12.43,18.302007434944237,0.8169799256505577,4.0,0,0,0,0,1,0,0,0,0,0,0,0
BPYPP,1.625,12.21,18.302007434944237,0.8169799256505577,4.0,0,0,0,0,1,0,0,0,0,0,0,0
BRKL,0.54,4.97,10.97,0.8903,4.0,0,0,0,0,1,0,0,0,0,0,0,0
BRKR,0.2,0.27,34.08,0.6592,4.0,0,0,0,0,0,0,1,0,0,0,0,0
BRY,0.84,11.95,12.78,0.8722,4.0,0,0,0,1,0,0,0,0,0,0,0,0
BSET,0.72,4.45,24.89,0.7511,4.0,0,1,0,0,0,0,0,0,0,0,0,0
BSRR,0.92,4.1,9.34,0.9066,4.0,0,0,0,0,1,0,0,0,0,0,0,0
BSY,0.2,0.39,96.91,0.03090000000000004,4.0,0,0,0,0,0,0,0,0,0,1,0,0
BUSE,0.96,3.84,10.78,0.8922,4.0,0,0,0,0,1,0,0,0,0,0,0,0
BWBBP,1.4688,8.27,18.302007434944237,0.8169799256505577,4.0,0,0,0,0,1,0,0,0,0,0,0,0
BWFG,0.8,2.65,6.51,0.9349000000000001,4.0,0,0,0,0,1,0,0,0,0,0,0,0
BWMX,1.1884,8.51,10.99,0.8901,4.0,0,1,0,0,0,0,0,0,0,0,0,0
CAC,1.68,4.38,11.16,0.8884,4.0,0,0,0,0,1,0,0,0,0,0,0,0
CAKE,1.08,3.04,20.52,0.7948,4.0,0,1,0,0,0,0,0,0,0,0,0,0
CALM,3.02,5.39,4.32,0.9568,4.0,0,0,1,0,0,0,0,0,0,0,0,0
CASS,1.2,2.65,20.24,0.7976,4.0,0,1,0,0,0,0,0,0,0,0,0,0
CASY,1.72,0.63,21.21,0.7879,4.0,0,0,0,0,0,0,0,1,0,0,0,0
CATC,2.68,3.78,14.91,0.8509,4.0,0,0,0,0,1,0,0,0,0,0,0,0
CATY,1.36,3.07,8.77,0.9123,4.0,0,0,0,0,1,0,0,0,0,0,0,0
CBAN,0.44,3.36,10.65,0.8935,4.0,0,0,0,0,1,0,0,0,0,0,0,0
CBFV,1.0,4.2,8.95,0.9105,4.0,0,0,0,0,1,0,0,0,0,0,0,0
CBNK,0.32,1.32,9.65,0.9035,4.0,0,0,0,0,1,0,0,0,0,0,0,0
CBRL,5.2,6.53,20.26,0.7974,4.0,0,1,0,0,0,0,0,0,0,0,0,0
CCAP,1.64,9.33,11.42,0.8858,6.0,0,0,0,0,1,0,0,0,0,0,0,0
CCBG,0.8,2.61,9.59,0.9041,4.0,0,0,0,0,1,0,0,0,0,0,0,0
CCD,2.34,11.81,18.302007434944237,0.8169799256505577,12.0,0,0,0,0,1,0,0,0,0,0,0,0
CCEP,2.46,3.77,19.90727272727273,0.8009272727272727,2.0,0,0,1,0,0,0,0,0,0,0,0,0
CCLP,0.04,2.42,13.215,0.86785,4.0,0,0,0,1,0,0,0,0,0,0,0,0
CCNE,0.7,3.09,8.59,0.9141,4.0,0,0,0,0,1,0,0,0,0,0,0,0
CCNEP,1.7813,8.2,18.302007434944237,0.8169799256505577,4.0,0,0,0,0,1,0,0,0,0,0,0,0
CCOI,3.82,5.15,3.28,0.9672000000000001,4.0,0,1,0,0,0,0,0,0,0,0,0,0
CDW,2.48,1.1,28.1,0.719,4.0,0,1,0,0,0,0,0,0,0,0,0,0
CDZIP,2.2,15.22,24.525,0.75475,4.0,0,0,0,0,0,0,0,0,0,0,0,1
CEG,1.128,0.95,22.71,0.7729,4.0,0,0,0,0,0,0,0,0,0,0,0,1
CFBK,0.24,1.25,7.15,0.9285,4.0,0,0,0,0,1,0,0,0,0,0,0,0
CFFN,0.34,5.14,18.302007434944237,0.8169799256505577,4.0,0,0,0,0,1,0,0,0,0,0,0,0
