Symbol,Company Name,Company Code
IGG,IG GROUP HOLDINGS PLC,IGIGG
DSCV,DISCOVERIE GROUP PLC,ACBO
JMAT,JOHNSON MATTHEY PLC,JOJG
SVS,SAVILLS PLC,SAZEV
UKCM,UK COMMERCIAL PROPERTY REIT LIMITED,UKUKCM
EMG,MAN GROUP PLC,MANEMG
VSVS,VESUVIUS PLC,VEVSVS
RICA,RUFFER INVESTMENT COMPANY LTD,RRICA
FAN,VOLUTION GROUP PLC,VOFAN
BGEO,BANK OF GEORGIA GROUP PLC,BABGEO
MYI,MURRAY INTERNATIONAL TRUST PLC,MUSE
WTAN,WITAN INVESTMENT TRUST PLC,WIWTA
TMPL,TEMPLE BAR INVESTMENT TRUST PLC,TEKN
JUP,JUPITER FUND MANAGEMENT PLC,JUJUP
SNR,SENIOR PLC,SESNR
CTY,CITY OF LONDON INVESTMENT TRUST PLC,CICTY
DNLM,DUNELM GROUP PLC,DUDNLM
TCAP,TP ICAP GROUP PLC,TPITPI
DWL,DOWLAIS GROUP PLC,DOWLAI
WKP,WORKSPACE GROUP PLC,WOWKP
CEY,CENTAMIN PLC,CENCEY
ASL,ABERFORTH SMALLER COMPANIES TRUST PLC,ABOA
WIZZ,WIZZ AIR HOLDINGS PLC,WIWIZZ
3IN,3I INFRASTRUCTURE PLC,TIITIN
ESCT,THE EUROPEAN SMALLER COMPANIES TRUST PLC,TRAF
BRGE,BLACKROCK GREATER EUROPE INVESTMENT TRUST PLC,BLBRGE
JTC,JTC PLC,JTJTC
ATST,ALLIANCE TRUST PLC,ALKX
HSX,HISCOX LTD,HIHSX
RCP,RIT CAPITAL PARTNERS PLC,RIQB
BNKR,BANKERS INVESTMENT TRUST PLC,BAOMK
SEQI,SEQUOIA ECONOMIC INFRASTRUCTURE INCOME FUND LIMITED,SESEQI
GEN,GENUIT GROUP PLC,PLPLP
IEM,IMPAX ENVIRONMENTAL MARKETS PLC,IMIEM
MRCH,MERCHANTS TRUST PLC,MEMF
LWDB,LAW DEBENTURE CORPORATION PLC,LAOF
BRWM,BLACKROCK WORLD MINING TRUST PLC,BLBRWM
BGFD,BAILLIE GIFFORD JAPAN TRUST PLC,BABZS
HMSO,HAMMERSON PLC,HAHPY
SXS,SPECTRIS PLC,SPSXS
GPE,GREAT PORTLAND ESTATES PLC,GRIO
CHG,CHEMRING GROUP PLC,CHKC
CLDN,CALEDONIA INVESTMENTS PLC,CAENA
WWH,WORLDWIDE HEALTHCARE TRUST PLC,WOWWH
SMWH,WH SMITH PLC,WSMWH
SCT,SOFTCAT PLC,SOSCT
MSLH,MARSHALLS PLC,MARJE
MNKS,MONKS INVESTMENT TRUST PLC,MOFF
CRST,CREST NICHOLSON HOLDINGS PLC,CRCRST
LMP,LONDONMETRIC PROPERTY PLC,LOLSP
ASHM,ASHMORE GROUP PLC,ASASHM
ITH,ITHACA ENERGY PLC,ITHEPL
MUT,MURRAY INCOME TRUST PLC,MUSA
QLT,QUILTER PLC,QUQLTR
TIFS,TI FLUID SYSTEMS PLC,TIFS
SUPR,SUPERMARKET INCOME REIT PLC,SUSUPR
ASCL,ASCENTIAL PLC,ASASCL
MRC,MERCANTILE INVESTMENT TRUST (THE) PLC,MEMRC
MAB,MITCHELLS & BUTLERS PLC,MIMAB
BYIT,BYTES TECHNOLOGY GROUP PLC,BYTSBY
N91,NINETY ONE PLC,NINN91
BRSC,BLACKROCK SMALLER CO TRUST PLC,BLBRSC
ROR,ROTORK PLC,ROKP
MGAM,MORGAN ADVANCED MATERIALS PLC,MOADMA
MOON,MOONPIG GROUP PLC,MPGPLC
KLR,KELLER GROUP PLC,KEEKM
BOY,BODYCOTE PLC,BOCC
BBY,BALFOUR BEATTY PLC,BABBY
EWI,EDINBURGH WORLDWIDE INVESTMENT TRUST PLC,EDEWI
CCC,COMPUTACENTER PLC,COCCC
THRG,BLACKROCK THROGMORTON TRUST PLC,BRTHUI
LRE,LANCASHIRE HOLDINGS LIMITED,LALRE
EDIN,EDINBURGH INVESTMENT TRUST PLC,EDIQ
EBOX,TRITAX EUROBOX PLC,EBOXTR
BOWL,HOLLYWOOD BOWL GROUP PLC,HOBOWL
VCT,VICTREX PLC,VIVCT
FGT,FINSBURY GROWTH & INCOME TRUST PLC,FILN
